"id","x_avg","y_avg","z_avg","vb_avg","x_stddev","y_stddev","z_stddev","vb_stddev","x_var","y_var","z_var","vb_var","x_rms","y_rms","z_rms","vb_rms"
"3","140.409","171.059","281.53","0.00193","9.02635","10.324","13.3598","1.17056","81.4751","106.585","178.485","1.37022","27.24","30.05","37.875","3.37955"
"2","112.424","157.846","279.34","-0.00014","9.30656","13.2929","22.0966","1.42498","86.6121","176.7","488.26","2.03058","30.8265","37.605","69.11","4.80585"
"0","94.7106","139.154","245.855","0.01621","5.69304","9.40798","10.3405","3.70369","32.4107","88.51","106.925","13.7174","15.4915","29.52","31.845","12.6065"
"2","113.329","154.708","274.821","-0.05104","11.0438","14.4561","21.7797","1.50347","121.966","208.977","474.355","2.26044","32.812","44.315","62.31","4.55695"
"1","99.3716","145.987","259.159","-0.01667","9.90385","9.72998","15.1007","1.71636","98.0863","94.6725","228.03","2.9459","28.004","30.51","45.74","4.88835"
"0","94.6127","139.784","249.952","-0.06785","5.43146","10.0691","12.5098","3.51515","29.5008","101.387","156.495","12.3562","14.7295","28.83","36.73","11.192"
"0","95.4415","149.915","258.424","-0.04504","6.01047","9.92358","12.703","3.9222","36.1258","98.4775","161.365","15.3837","16.635","30.66","36.35","10.7146"
"1","101.562","152.398","266.687","-0.03007","11.4557","11.5173","16.0465","1.45925","131.232","132.648","257.49","2.1294","30.596","37.375","46.125","5.0441"
"1","101.622","152.025","265.9","-0.05642","10.3123","11.69","15.9966","1.44434","106.343","136.655","255.89","2.08612","38.914","37.38","44.67","3.90945"
"0","97.2136","149.074","255.647","-0.03858","7.33707","11.1914","14.5566","3.90405","53.8326","125.247","211.895","15.2416","19.4575","31.275","40.395","11.852"
"3","139.522","169.486","276.785","0.02718","9.99213","10.986","14.8615","1.21416","99.8426","120.692","220.865","1.47418","31.9","32.57","42.305","3.4284"
"3","139.237","172.374","281.984","-0.00564","10.187","10.1525","15.0595","1.15765","103.776","103.073","226.79","1.34016","30.905","28.07","45.205","3.78115"
"0","94.467","138.544","246.687","-0.05967","6.16999","9.12407","9.53126","3.60789","38.0687","83.2487","90.845","13.0169","17.1665","26.24","30.93","9.28365"
